word,meaning_short,meaning_raw,tsl rank
cab,《おもに米》タクシー(=taxicab) ,"《おもに米》タクシー(=taxicab) / 昔のつじ馬車 / (トラック・機関車などの)運転台,運転室",283
correspondence,(…の間の)『一致』,"(…の間の)『一致』,調和類似《+『between』+『名』》;(…との)一致《+『with』(『to』)+『名』》 / (…との)『文通』,通信《+『with』+『名』》 / 《集合的に》(書かれた・取り交わされた)手紙,書簡",284
ladder,『はしご』 ,"『はしご』 / (立身出世の)手段,手づる / 《英》(靴下・編み物などの)伝線,ほつれ(《米》run) / (はしごで)…を登る,にはしごをかける / 《英》〈靴下〉をほつれさせる,伝線させる / 〈靴下などが〉ほつれる,伝線する(《米》run)",285
photography,写真術,写真術,286
sculpture,〈U〉『彫刻』,"〈U〉『彫刻』,彫刻術 / 〈C〉『彫刻品』,《集合的に》彫刻作品 / 〈石・柱など〉に彫刻する,を彫刻で飾る / …を像(模様など)を作る / (浸食で)〈岩など〉を彫刻したように変形させる / 彫刻する",287
anniversary,(年ごとの)『記念日』,"(年ごとの)『記念日』,記念祭 / 記念日の",288
buffet,(手・こぶしの)打撃 ,"(手・こぶしの)打撃 / (風波・運命などに)もまれること,もて遊ばれること / (手・こぶしで)…を打つ / (波・運命が)…をもむ,もて遊ぶ《+『名』+『about』,+『about』+『名』》 / 《文》〈波・運命〉と戦う / 食器だな / ビュッフェ(セルフサービスでする食事;立食形式の食事) / (パーティー・園遊会などで料理・飲物を置いた)立食台,模擬店",289
defective,『欠点のある』,"『欠点のある』,欠陥のある / 欠けている,足りない,(知能的に)標準以下の / 精神障害者,身体障害者",290
ice cream,アイスクリーム,アイスクリーム,291
leak,〈U〉〈C〉(水・空気・ガス・光などが)漏れること ,"〈U〉〈C〉(水・空気・ガス・光などが)漏れること / 〈C〉『漏れ口』,漏れ穴 / 〈C〉(秘密などの)漏えい《+『of』+『名』》 / 〈船・屋根・容器などが〉漏る / (…から,…の中へ)〈水・空気・ガス・光など〉漏れる《+『from』(『into』)+『名』》 / 〈秘密などが〉漏えいする《+『out』》 / 〈水・空気・ガス・光など〉を漏らす / (…に)〈秘密など〉を漏らす《+『名』+『to』+『名』》",292
occupancy,(家・土地などの)占有 ,(家・土地などの)占有 / 占有期間,293
proficiency,(知識・技術の)熟達,"(知識・技術の)熟達,熟練(skill)《+『in』(『at』)+『名』》",294
renewal,〈U〉(…を)新しく直すこと,"〈U〉(…を)新しく直すこと,(…の)更新;復興;再生《+『of』+『名』》 / 〈C〉新しくされた物,更新された物(証明書など)",295
urgent,『急を要する』,"『急を要する』,緊急の / 『しつこい』,うるさく頼む",296
annually,年々,"年々,毎年 / 年に1回",297
basketball,〈U〉『バスケットボール』,"〈U〉『バスケットボール』,篭(ろう)球 / 〈C〉バスケットボール用のボール",298
delete,(…から)〈語など〉を削除する,"(…から)〈語など〉を削除する,消す《+『名』+『from』+『名』》",299
illogical,非論理的な,"非論理的な,不合理な;《話》もの分かりの悪い",300
pet,『愛がん動物』,"『愛がん動物』,ペット / 《単数形で》お気に入りの人(物) / (動物などが)愛がん用の,ペットの / (名前などが)愛情を表す / お気に入りの;お得意の / …を愛撫(あいぶ)する,かわいがる / (ささいなことについての)不きげん,すねること",301
textbook,『教科書』,『教科書』,302
accurately,正確に,"正確に,精密に,綿密に",303
cabin,(通例,"(通例,木造1階建ての)『小屋』 / 『船室』;(飛行機の)客室",304
conductor,(集団などの)『指導者』,"(集団などの)『指導者』,案内者;(事業などの)管理者,経営者 / (オーケストラ・コーラスなどの)『指揮者』 / (電車・バスなどの)『車掌』;《おもに米》列車の / (熱・電気・音などの)導体",305
inspector,視察官,"視察官,調査官,監査人(役) / 警部",306
intern,実習生、インターン,実習生、インターン,307
semester,(米国・ドイツなどの大学の二学期制の)一学期,"(米国・ドイツなどの大学の二学期制の)一学期,前(後)期(通例15‐18週)",308
confirmation,(陳述・所信などの)『確認』;(情報などの)確証;(条約などの)承認《+『of』+『名』》;(…であるという)確証,"(陳述・所信などの)『確認』;(情報などの)確証;(条約などの)承認《+『of』+『名』》;(…であるという)確証,確認《+『that節』》 / 堅信礼(幼年時代に洗礼を受けた人が成人してその信仰を堅めるために告白をして教会員となる儀式)",309
congratulation,《複数形で》(また『congrats』)(…に対する)『祝いの言葉』,"《複数形で》(また『congrats』)(…に対する)『祝いの言葉』,祝辞《+『on』+『名』》 / 〈U〉『祝い』,祝賀",310
expertise,〈U〉専門技術[知識] ,〈U〉専門技術[知識] / 〈C〉《特に英》専門家の調査報告,311
graph,グラフ,"グラフ,図表",312
taker,取る人、受験者,取る人、受験者,313
utility,〈U〉『役に立つこと』 ,〈U〉『役に立つこと』 / 〈C〉《しばしば複数形で》(ガス・電気・水道などの)『公益事業』,314
voucher,(受領・支払いの)証書,"(受領・支払いの)証書,受領証・証拠物件 / 保証人,証人",315
banker,『銀行家』,"『銀行家』,銀行経営者 / (ゲームの)親,胴元",316
behalf,大義,"大義, 大目的; 支持, 利益; 《古》 点, 面",317
minimize,最小限にする,最小限にする,318
optional,選択が自由の,"選択が自由の,随意の",319
paycheck,給料支払い小切手 ,"給料支払い小切手 / 俸給,給料(salary)",320
polite,『礼儀正しい』,"『礼儀正しい』,『ていねいな』 / 『洗練された』,教養のある,上品な",321
protective,保護の,"保護の,保護する;(…を)保護する《+『toward』+『名』》",322
seller,売る人,"売る人,売り手 / 《good,bad,poorなどの形容詞と共に》売れるもの",323
sidewalk,『歩道』,『歩道』,324
sightsee,見物(遊覧)する,見物(遊覧)する,325
soup,『スープ』,『スープ』,326
transit,通過,"通過,通行 / (…の)輸送,運搬《+of+名》 / 天体が子午線を横切ること,(小天体が)他の天体を横切ること / 〈天体が〉〈太陽面〉を通過する",327
wallet,(折りたたみ式で通例皮製の)『紙入れ』,"(折りたたみ式で通例皮製の)『紙入れ』,財布 / 《古》(乞食・巡礼などの)がっさい袋,ずだ袋",328
cashier,現金出納係 ,"現金出納係 / 〈士官など〉を懲戒免職にする,〈官吏〉を罷免(ひめん)する",329
casual,『むぞうさな』,"『むぞうさな』,さりげない(offhand) / 『偶然の』,思いがけない / ふだん着の,くだけた / むとんじゃくな,無関心な / 臨時雇労働者 / ふだん着",330
drill,〈C〉『きり』,"〈C〉『きり』,『ドリル』,穴あけ機 / 〈U〉練兵,教練 / 〈U〉〈C〉『反復練習』,(系統的な)けいこ / 〈U〉〈C〉(事態に処するための)訓練 / 〈穴〉を『あける』;…に穴をあける / (…を)〈人〉に『繰り返し教え込む』《+『名』〈人〉+『in』+『名』》;(人に)〈物事〉を厳しく訓練して教え込む《+『名』+『into』+『名』〈人〉》 / 〈兵士〉を教練する / 《米俗》〈人〉を撃ち抜く / (きりなどで)貫く,穴をあける / (軍事などの)訓練を受ける,練習する / (種をまくための)小みぞ / 種まき機 / (筋まきした)種の列 / 〈種〉を筋まきする,〈苗〉を筋植えする / 雲斎(うんさい)織り(太あや織りの綿布または亜麻布)",331
fountain,『泉』(spring);水源 ,"『泉』(spring);水源 / 『噴水』;噴水池 / =drinking fountain / (…の)源,源泉《+『of』+『名』》",332
juice,〈U〉〈C〉(果物・野菜・肉などの)『汁』,"〈U〉〈C〉(果物・野菜・肉などの)『汁』,『液』,ジュース;〈U〉(植物の)樹液 / 《複数形で》(動物の)体液,分泌液 / 〈U〉《俗》電気;ガソリン,燃料オイル / …から汁をしぼり取る",333
lane,『小道』,"『小道』,横町,路地,いなか道 / (船・飛行機などの)航路,(車道の)車線 / (ボウリングの)レーン",334
popularity,(人の間での)『人気』,"(人の間での)『人気』,好評,流行《+『with』(『among』)+『名』〈人〉》",335
poster,ポスター,"ポスター,びら",336
promptly,『敏速に』,"『敏速に』,即座に / 時間どおりに",337
retailer,小売り商人,小売り商人,338
vacancy,〈C〉『あき部屋』,"〈C〉『あき部屋』,あいた貸間,あき地 / 〈C〉(地位・役職などの)『空席』,欠員 / 〈U〉〈C〉空間,空虚 / 〈U〉虚脱状態,ぼんやりしていること / 〈U〉何もすることがない状態,無為,暇",339
bench,『ベンチ』,"『ベンチ』,長いす / 〈U〉(職人・技師・科学者の)作業台,実験台,細工台 / 長くて狭い段丘 / 《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち / 〈C〉裁判官席;〈U〉裁判官の職(地位) / 《集合的に》《the~》裁判官[たち] / 〈C〉(英国議会などの)議席 / 〈選手〉を補欠としてベンチに座らせておく",340
cumulative,しだいに増加する,"しだいに増加する,累加する,累積的な",341
directory,人名簿,"人名簿,住所録 / (ビルの)居住者表示板",342
disposal,配置,"配置,配列 / (事件・業務などの)『処置』,処理;処分 / (物の)譲渡;売却",343
housekeeper,『主婦』 ,『主婦』 / 『家政婦』;(ホテルなどの)掃除婦がしら,344
internship,インターンとしての勤務期間,インターンとしての勤務期間,345
knowledgeable,博識の,"博識の,物知りの / 策にたけた",346
organizer,組織者;設立者;(組合の)オルグ,組織者;設立者;(組合の)オルグ,347
overdue,支払いの期限が過ぎた,"支払いの期限が過ぎた,未払いの / (予定より)遅れている",348
prediction,〈U〉予報(予言)すること ,"〈U〉予報(予言)すること / 〈C〉予報(予言)される事;(…という)予報,予言《+『that節』》",349
subscriber,予約者,"予約者,定期講読者 / 寄付者,出資者 / (契約書,証明書などの)署名者 / 同意者",350
booklet,小冊子,"小冊子,パンフレット",351
conditioner,調節機、コンディショナー,調節機、コンディショナー,352
enroll,登録する、入会する,登録する、入会する,353
frustrate,〈計画・努力など〉をざ折させる,"〈計画・努力など〉をざ折させる,失敗させる / (計画などで)〈人〉をざ折させる,のやる気をくじく《+『名』+『in』+『名』》",354
garment,(dressやcoatなど)衣服[のうちの一品],(dressやcoatなど)衣服[のうちの一品],355
orientation,〈C〉(新入生などへの)オリエンテーション ,〈C〉(新入生などへの)オリエンテーション / 方向 / 向き / 方位 / (思想・態度などの)方向性 / 志向 / 生活指導・順応訓練,356
outlet,(水・煙などの)『出口』,"(水・煙などの)『出口』,はけ口《+『for』+『名』》 / (感情・精力などの)『はけ口』《+『for』+『名』》 / 《米》(電気コードの)差し込口 / (特定の商品の)販売口,販路《+『for』+『名』》",357
packet,(小さい)包み;小荷物 ,"(小さい)包み;小荷物 / (またpacket boat)(郵便・旅客・貨物などを運ぶ)定期船,郵便船 / 《英俗》大金",358
plumber,鉛管工,"鉛管工,配管工",359
specification,〈U〉(…の)詳説,"〈U〉(…の)詳説,詳述《+『of』+『名』》 / 〈U〉明細事項,内訳 / (また《話》specs)〈C〉《通例複数形で》(明細な)仕様書,設計書",360
auto,《米話》=automobile,《米話》=automobile,361
decorate,(…で)…を『飾る』,"(…で)…を『飾る』,飾り立てる《+『名』+『with』+『名』》 / 〈部屋・建物〉に装飾する / (…に対して)〈人〉に勲章(褒章(ほうしょう))を授ける《+『名』+『for』+『名』》",362
deduction,〈U〉差し引き ,〈U〉差し引き / 推論 / 控除額 / 〈U〉演繹(えんえき)法,363
definite,『一定の』,"『一定の』,(明確に)限定された / 『明確な』,確実な,すでに確定した",364
economical,(人が)『節約する』,"(人が)『節約する』,倹約家の / (物事が)経済的な,徳用の",365
efficiently,効率的に,効率的に,366
flyer,=flier,=flier,367
franchise,〈C〉《おもに米》(政府・メーカーが事業を行う個人・団体に与える)(…の)免許,"〈C〉《おもに米》(政府・メーカーが事業を行う個人・団体に与える)(…の)免許,一手販売権《+『of』+『名』》;(する)免許《+『to』do》 / 〈U〉《the~》公民権;(特)に参政権,選挙権 / 〈U〉フランチャイズ[制](プロ野球の球団がある都市に根拠をおいて特別な興行権をもつこと)",368
generous,『気前のよい』;『心が大きい』,"『気前のよい』;『心が大きい』,『寛容な』 / 大きい;豊富な,十分な",369
interrupt,(行動や話の途中で)〈人〉を『さえぎる』,"(行動や話の途中で)〈人〉を『さえぎる』,妨げる / 〈行為・話など〉を『中断する』 / 〈物事〉をさえぎる / 『じゃまする』,話の腰を折る",370
oven,天火,"天火,かまど,オーブン",371
pant,『あえぐ』,"『あえぐ』,息を切らす / 《現在分詞の形で》熱望する,強く望む / …をあえぎながら言う《+『out』(『forth』)+『名,』+『名』+『out』(『forth』)》 / 『あえぎ』,息切れ;動悸(どうき)",372
profitable,『利益の上がる』 ,『利益の上がる』 / 有益な,373
refrigerator,『冷蔵庫』;冷凍室(また《おもに英話》fridge,"『冷蔵庫』;冷凍室(また《おもに英話》fridge,《米古》icebox)",374
reimburse,(損害に応じて)〈人〉に弁償する《+『名』〈人〉+『for』+『名』》;〈人〉に〈損失額〉を払い戻す《+『名』〈人〉+『名』,"(損害に応じて)〈人〉に弁償する《+『名』〈人〉+『for』+『名』》;〈人〉に〈損失額〉を払い戻す《+『名』〈人〉+『名』,+『名』+『to』+『名』〈人〉》",375
showroom,(商品の)陳列室,(商品の)陳列室,376
vegetarian,菜食主義者(道徳上または健康上の理由で魚・肉を食べず,"菜食主義者(道徳上または健康上の理由で魚・肉を食べず,野菜だけを食べる人) / 菜食主義の / 野菜だけの",377
administrator,為政者,"為政者,行政官 / (遺産としての不動産の)管理者",378
broker,ブローカー,"ブローカー,仲買人",379
cancellation,〈U〉(…の)まっ殺,"〈U〉(…の)まっ殺,取り消し,削除《+『of』+『名』》 / 〈C〉消印",380
confidential,(文書・行為などが)秘密の,"(文書・行為などが)秘密の,内々の(secret) / 信用のできる,腹心の",381
jet,(水・ガス・蒸気などの)『噴出』,"(水・ガス・蒸気などの)『噴出』,噴射;噴出物,噴射物 / 噴出口,(ホースなどの)筒口 / =jet plane / =jet engine / 噴出する,噴射する / ジェット機で行く(旅行する) / …を噴出する,噴射する / …をジェット機で運ぶ / 黒玉(こくぎょく) / 黒玉色,漆黒(しっこく)(濃いつやのある黒色) / 黒玉製の / まっ黒な,漆黒の",382
realistic,『現実主義の』,"『現実主義の』,現実的(実際的)な / 写実的な,写実主義の / 実在論の",383
thoroughly,『徹底的に』,"『徹底的に』,完ぺきに,全く",384
trash,価値のないもの,"価値のないもの,役に立たないもの / 《米》廃品,くず,ごみ / くだらない話,駄作,ばかげた考え / 《米》人間のくず,役立たず",385
usage,〈U〉(物の)『用い方』,"〈U〉(物の)『用い方』,用法 / 〈C〉〈U〉(言語の)『慣用[法]』,語法",386
windy,『風の吹く』,"『風の吹く』,風の強い / 風の当たる,風を受ける / 内容のない,空虚な;おしゃべりな,口数の多い / 《おもに英俗》びくびくした,おびえた",387
automate,〈工場・機械〉に自動装置をつける,"〈工場・機械〉に自動装置をつける,をオートメーション化する",388
ferry,『渡し船』,"『渡し船』,連絡船(ferryboat),連絡船の便 / 渡し場,連絡船の発着場 / 《副詞[句]を伴って》〈人・車など〉を船で渡す / 〈川など〉を船で渡る / …を空輸する,〈新造飛行機〉を輸送する / 船で渡る",389
finalize,仕上げる、最終決定する,仕上げる、最終決定する,390
incur,〈損害・非難・危険など〉を招く,"〈損害・非難・危険など〉を招く,こうむる",391
instruct,…に知識(情報,"…に知識(情報,技術など)を与える,教える,知らせる / 〈人〉に『指示する』,命令する",392
loyal,『忠実な』,"『忠実な』,誠実な(faithful) / 『忠誠な』,忠義な",393
luncheon,『昼食』 ,『昼食』 / (正式接待の場所の)午餐(ごさん),394
microphone,『マイクロフォン』,"『マイクロフォン』,拡声器",395
overview,概観,"概観,大要",396
projector,計画者,"計画者,発案者 / 投光機,投影機;映写機",397
shortage,『不足』,"『不足』,欠乏;〈C〉不足高",398
spacious,(部屋・家などが)広い,"(部屋・家などが)広い,ゆったりとした / (空・海などの大空間が)広大な",399
accomplishment,〈U〉完成,"〈U〉完成,成就(じょうじゅ) / 〈C〉業績 / 《複数形で》教養,たしなみ,才芸",400
accustom,(…に)〈人・自分・動物〉を『慣らす』,"(…に)〈人・自分・動物〉を『慣らす』,習慣づける《+『名』+『to』+『名』(do『ing』)》",401
clinic,〈U〉(医学の)臨床講義 ,"〈U〉(医学の)臨床講義 / 〈C〉《集合的に》臨床講義のクラス / 〈C〉臨床講義室 / 〈C〉(病院・医科大学・社会事業団などに付属した)診療所;《形容詞を判って》医療施設,病院 / 〈C〉(警察・学校・社会事業団などに付属した)相談所",402
desktop,デスクトップ(PC),デスクトップ(PC),403
jog,…を軽く揺り動かす;…をちょっと押す(突く) ,"…を軽く揺り動かす;…をちょっと押す(突く) / 〈記憶など〉を呼び起こす,刺激する / (特に健康法として)ゆっくり走る / とぼとぼと歩き続ける《+『on』(『along』)》 / 軽い揺さぶり(つつき,刺激) / てくてく(ことこと)歩き;(馬の)緩歩(jog trot)",404
leisure,『暇』,"『暇』,余暇;(仕事をしなくてもよい)自由な時間 / 仕事をする必要がないこと / 暇な,有閑な",405
nap,(特に日中の)『ひと眠り』,"(特に日中の)『ひと眠り』,昼寝 / ひと眼りする,まどろむ / (ラシャなどの)けば / ナポレオン(カードゲームの一種) / 〈新聞記者などが〉〈勝ち馬の名〉を予想する",406
reinforce,…を増強する,"…を増強する,補強する / …に増援する,援兵を送る",407
sender,発送人,"発送人,送り主,差し出し人 / 送信機,送話機",408
vacuum,真空 ,"真空 / 《単数形で》『空虚』,『空所』,空白 / (現実から隔離された)孤立状態 / 《米》=vacuum cleaner / '…を'電気掃除機で掃除する / 電気掃除機をかける",409
wireless,〈U〉『無線』,"〈U〉『無線』,無線電信 / 〈U〉《the wireless》《英》ラジオ[放送,番組];〈C〉『ラジオ』[受信機] / 無線[電信,電話,電報]の / 《英》ラジオの",410
yearly,『年1回の』;毎年の ,"『年1回の』;毎年の / 1年間の,年間の / 年1回,毎年",411
appreciation,〈U〉(…を)『正しく認識すること』,"〈U〉(…を)『正しく認識すること』,(…の)識別,評価《+『of』+『名』》 / 〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+『of』+『名』》 / 〈U〉(…に対する)感謝《+『for』+『名』》 / 〈U〉《時にa~》(価格の)騰貴",412
cargo,(船・飛行機の)『積荷』,"(船・飛行機の)『積荷』,貨物",413
cooperate,『協力する』,"『協力する』,共同する",414
distract,(…から)〈人〉の『注意』(『気持ち』,"(…から)〈人〉の『注意』(『気持ち』,『関心』)『をそらす』,〈注意・心など〉を『そらす』《+『名』+『from』+『名』》 / 《しばしば受動態で》〈人〉の『心を乱す』,をまごつかせる,当惑させる《+『名』+『with』(『by』)+『名』》",415
dividend,配当;配当金 ,配当;配当金 / 被除数,416
exemption,(義務などの)免除《+『from』+『名』(do『ing』)》,(義務などの)免除《+『from』+『名』(do『ing』)》,417
furnish,〈家・部屋など〉に『家具を備え付ける』;(家具を)〈家・部屋など〉に備え付ける《+『名』+『with』+『名』》 ,"〈家・部屋など〉に『家具を備え付ける』;(家具を)〈家・部屋など〉に備え付ける《+『名』+『with』+『名』》 / 《文》〈必要なもの〉を『供給する』,『提供する』;(…を)〈人など〉に供給する《+『名』〈人〉+『with』+『名』》;(人などに)…を供給する《+『名』+『to』+『名』〈人〉》",418
hourly,1時間の;1時間ごとの ,"1時間の;1時間ごとの / 絶え間のない,たびたびの(frequent) / 1時間ごとに / しばしば,絶えず",419
laundry,《集合的に》『洗濯』[『物』] ,《集合的に》『洗濯』[『物』] / 〈C〉『クリーニング屋』 / 『洗濯室』(laundry room)《形容詞的に》,420
mandatory,(命令によって)強制的な ,"(命令によって)強制的な / 委任の / 委任を受けた人(国),委任統治の受任国",421
mechanical,『機械の』,"『機械の』,道具の;機械(道具)を必要とする / 機械仕掛けの,機械操作の,機械製の / 機械に適した,機械向きの;(人・行動などが)機械的な,自動的な",422
pharmacy,〈U〉薬学;調剤術 ,〈U〉薬学;調剤術 / =drugstore,423
promotional,昇進の,"昇進の,昇格の / 促進の,奨励の",424
quarterly,年4回の,"年4回の,3か月ごとの / 年4回[に],3か月ごとに / 年4回の刊行物,季刊誌",425
residential,住居の,"住居の,居住の / 住居向きの",426
scholarship,〈C〉《時にS-》『奨学金』 ,"〈C〉《時にS-》『奨学金』 / 〈U〉学識,学力",427
seeker,(…の)追求者,"(…の)追求者,探求者《+『for』(『after, of』)+『名』》",428
temporarily,一時的に,"一時的に,仮に",429
towel,『タオル』,"『タオル』,手ぬぐい,手ふき / …をタオルでふく",430
unattended,付き添いのない ,付き添いのない / 世話をされていない,431
accessible,(またget-at-able)近づきやすい,"(またget-at-able)近づきやすい,入りやすい,達しうる / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》",432
afterward,その後,その後,433
apology,〈C〉(…に対する)『わび』,"〈C〉(…に対する)『わび』,謝罪;言い訳,弁解《+『for』+『名』(do『ing』)》 / 〈U〉〈C〉(口頭・文書による)(…の)弁護,弁明(defense)《+『for』+『名』》 / 〈C〉《話》(…とは)申し訳ばかりのもの,(…の)お粗末な代用品《+『for』+『名』》",434
assemble,(ある目的で)〈人・物〉を『集める』,"(ある目的で)〈人・物〉を『集める』,集合させる / (部品を集めて)〈機械など〉を『組み立てる』 / …を整とんする,きちんと並べる / (人が)集まる,会合する(meet)",435
automatic,『自動の』,"『自動の』,自動装置(機械)の / (行動などが)『無意識の』,機械的な / (銃砲が)自動式の / 自動機械 / 自動式ライフル(ピストル)",436
boardroom,重役会議室,重役会議室,437
carpenter,『大工』(だいく),『大工』(だいく),438
caterer,(宴会などの)料理の仕出し屋,"(宴会などの)料理の仕出し屋,まかない人;宴会の世話係",439
classify,(…に)…を『分類する』,"(…に)…を『分類する』,類別する,等級別にする《+『名』+『into』+『名』》 / 《米》〈文書類など〉を機密扱いにする",440
consultation,〈U〉〈C〉(…との)相談,"〈U〉〈C〉(…との)相談,協議《+『with』+『名』》;専門家との相談・〈C〉協議会,(専門家の)会議",441
durable,耐久力のある,"耐久力のある,もちのよい / 永く続く",442
glove,(五指の分かれている)『手袋』 ,(五指の分かれている)『手袋』 / (野球の)『グローブ』;(ボクシング用の)グラブ / …に手袋をはめる / (野球で)〈ボール〉をグローブで捕る,443
hardware,《集合的に》金物類,"《集合的に》金物類,鉄器類 / ハードウエア(電子計算機の機械部分)",444
malfunction,(器官・機械などの)機能不全,"(器官・機械などの)機能不全,不調 / 〈器官,機械などが〉機能不全である",445
outdated,=out-of-date,=out-of-date,446
patience,(苦しみに耐える)『忍耐』,"(苦しみに耐える)『忍耐』,忍耐力,しんぼう / 《英》=solitaire",447
postcard,絵葉書,絵葉書,448
prospective,未来の,"未来の,将来の / 予想される,見込みのある",449
revision,〈C〉(…の)改正(改訂)校閲《+『of』+『名』》 ,〈C〉(…の)改正(改訂)校閲《+『of』+『名』》 / 〈C〉改訂版 / 〈U〉《英》復習(《米》review),450
strictly,『厳格に』,"『厳格に』,厳重に / 『厳密に』,正確に / 『全く』,きっぱりと,断然",451
tomato,『トマト』;トマトの木,『トマト』;トマトの木,452
tray,浅いへりのついた平たい容器,"浅いへりのついた平たい容器,(料理などを運んだり盛ったりするための)『盆』,皿 / (机上書類用の)整理箱 / (また tearful)盆(皿)一杯[の量]",453
vendor,(小さな品物を)売る人,"(小さな品物を)売る人,行商人 / (法律で)(土地・家などを)売りに出す人",454
withdrawal,引っ込めること,"引っ込めること,引っ込むこと,退くこと / 引き上げ,回収 / 取り消し,撤回",455
anytime,いつでも(at any time) ,"いつでも(at any time) / きまって,常に",456
badge,『記章』,"『記章』,バッジ / 印",457
brake,『ブレーキ,"『ブレーキ,制動機』,歯止め / …にブレーキをかける / 〈人が〉ブレーキをかける / 〈C〉やぶ,茂み / =bracken",458
calculation,見積もり,"見積もり,算定 / 予想,推定 / 意図,熟慮",459
coordinator,調和させる人(物),調和させる人(物),460
costly,『高価な』;費用のかかる ,『高価な』;費用のかかる / 損害(犠牲)の多い,461
equip,(ある目的のために必要な装備などで)〈人〉に『したくさせる』,"(ある目的のために必要な装備などで)〈人〉に『したくさせる』,〈船・軍隊など〉に『装備する』《+『名』+『with』+『名』》,(…に備えて)…にしたくさせる,を装備する《+『名』+『for』+『名』》 / (必要な知識・能力などを)〈人〉に身につけさせる:《『equip』+『名』〈人〉+『with』+『名』+『for』+『名』》…に備えて…を〈人〉に身につけさせる",462
excursion,(特定の目的をもった団体の)『小旅行』,"(特定の目的をもった団体の)『小旅行』,遠足 / (特別割引料金の)周遊旅行",463
graphic,(描写が)絵を見るような,"(描写が)絵を見るような,生き生きとした(vivid) / グラフで表した,図表を用いた / 文字の;書画(彫刻)の",464
inexperience,経験のないこと,"経験のないこと,未熟,不慣れ",465
lengthy,非常に長い ,"非常に長い / (話・文章などが)長すぎる,くどい",466
librarian,司書,"司書,図書館員,図書係",467
meantime,『その間に』 ,『その間に』 / その同じ時に;一方では / 『合間』 / =Greenwich Mean Time,468
merge,〈会社・組織が〉合併する,"〈会社・組織が〉合併する,合体する;(…と)合併する《+『with』+『名』》 / (…に)溶け込む,しだいに変わる《+『into』(『in』)+『名』》 / 〈会社・組織〉を合併する,合体する;(…と)…を合併する《+『名』+『with』+『名』》",469
performer,《修飾語を伴って》実行する人,"《修飾語を伴って》実行する人,遂行する人 / 演奏者,上演者;(特に)芸人",470
pharmacist,薬剤師;製薬者(また《英》chemist),薬剤師;製薬者(また《英》chemist),471
pizza,ピッツァ,"ピッツァ,ピザ(チーズ・トマトなどをパイ皮にのせて焼いた料理)",472
resignation,〈C〉辞職,"〈C〉辞職,辞任 / 〈U〉(仕方なく)受け入れること,諦め,甘受",473
reviewer,(新刊書・演劇などの)批評家,"(新刊書・演劇などの)批評家,評論家",474
terminate,(…で)…を終わらせる《+名+with+名》 ,"(…で)…を終わらせる《+名+with+名》 / …の終りにくる,結びとなる / …の境界となる / 『終わる』,終結する",475
translation,〈U〉『訳すこと,"〈U〉『訳すこと,翻訳』 / 〈C〉翻訳されたもの",476
unfamiliar,『よく知らない』,"『よく知らない』,未知の見慣ない,聞き慣ない / 《補語にのみ用いて》(物事を)よく知らない,未知の《+with+名》",477
actress,〈C〉女優,〈C〉女優,478
adjacent,《文》近接の,"《文》近接の,隣接している;(…に)すぐ近くの《+『to』+『名』》",479
alternate,『交互の』,"『交互の』,かわるがわるの / 一つおきの(every other) / 代わりの,どれか一つの / 《米》代わり[の人](substitute) / 〈両者が〉交替する;(…と)交替する,互い違いになる《+『with』+『名』》 / …を交互にさせる",480
congratulate,(…に対して)〈人〉に『お祝いを言う』,"(…に対して)〈人〉に『お祝いを言う』,喜びを述べる《+『名』+『on』(『upon』)+『名』(do『ing』)》",481
escort,〈C〉(保護・案内・礼儀のための)『付き添い』,"〈C〉(保護・案内・礼儀のための)『付き添い』,護衛者,(特に,パーティーなどで)女性に付き添う男性;《集合的に》(兵士・軍艦などの)武装護衛隊,(警官の)護衛 / 〈U〉案内;保護,護衛,護送 / (ある場所まで)〈人〉に『付き添って行く』《+『名』〈人〉+『to』+『名』》 / 〈軍艦など〉を護衛する",482
inexpensive,安い,"安い,費用のかからない",483
mask,(顔の一部または全部をおおう)『仮面』,"(顔の一部または全部をおおう)『仮面』,覆面 / (防護用の)『マスク』,面 / (石膏(せっこう)などの)面型 / (物・事柄を)覆い隠すもの;見せかけ / 〈顔〉に面をかぶせる / (…から)〈物・事柄など〉を隠す《+『名』+『from』+『名』》",484
purchaser,買い手,買い手,485
purse,《米》(婦人用)『ハンドバッグ』 ,"《米》(婦人用)『ハンドバッグ』 / 『さいふ』 / 《単数形で》資金,資力,財力 / 〈C〉賞金,寄付金 / 〈くちびるなど〉をすぼめる,〈まゆ〉をひそめる《+『up』+『名,』+『名』+『up』》",486
realtor,《米》=real estate agent ・〈U〉《R-》全米不動産業協会(the National Association of Realtors)所属の不動産業者,《米》=real estate agent ・〈U〉《R-》全米不動産業協会(the National Association of Realtors)所属の不動産業者,487
rearrange,(以前とは別の様式で)…を整理し直す,"(以前とは別の様式で)…を整理し直す,配列し直す",488
reopen,…を再び開ける ,"…を再び開ける / …を再び始める / 再び開く,再び始まる",489
soap,『石けん』 ,『石けん』 / =soap opera / …を石けんで洗う,490
spokesperson,広報担当者,広報担当者,491
