word,meaning_short,meaning_raw,tsl rank
clerk,(銀行・会社の)行員,"(銀行・会社の)行員,社員;事務員 / (官庁の)『書記』,事務官,吏員;(教会の)書記 / 《米》『店員』,売り子(=salesclerk)(《英》shop assistant) / 事務員(書記など)として働く",23
lobby,『ロビー』(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下) ,"『ロビー』(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下) / 《《米》単数・複数扱い》(院外の)圧力団体,陳情団 / (英国で) / (下院で議案裁決のとき,賛否に分かれる)投票者控え室 / (議員が院外者との会見に用いる議事堂の)ロビー,控えの間 / (陳情・運動のため議員に)働きかける《+『for』+『名』》 / 〈議案〉を議員に運動して通過させようとする",24
publish,〈本・雑誌など〉を『出版する』,"〈本・雑誌など〉を『出版する』,発行する;〈作家など〉の作品を出版する / …を一般に知らせる,公表する / 出版する,発行する",25
résumé,履歴書,履歴書,26
enclose,(さく・壁などで)…を『囲む』(surround)《+『名』+『with』(『by』)+『名』》 ,(さく・壁などで)…を『囲む』(surround)《+『名』+『with』(『by』)+『名』》 / (手紙などに)…を『同封する』《+『名』+『with』(『in』)+『名』》,27
applicant,(…に対する)志願者,"(…に対する)志願者,応募者《+『for』+『名』》",28
seminar,(指導教授のもとで行う大学の)研究(演習)グループ,"(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール",29
technician,(科学・職業上の)専門家,"(科学・職業上の)専門家,専門技術者 / (音楽・美術などの)技巧派",30
cloth,〈U〉『布』,"〈U〉『布』,生地,織物 / 〈C〉(特定の用途に応じる大きさの)『布地』;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster) / 〈U〉布表紙,クロース / 〈U〉ラシャ / 〈C〉黒の聖服;《文》《the~》聖職",31
fare,〈C〉(乗り物の)『料金』,"〈C〉(乗り物の)『料金』,運賃 / 〈C〉(料金を払って乗る乗客) / 〈U〉食物,料理 / 〈人が〉やっていく / 《古・文》《itを主語にして》〈事が〉運ぶ,成り行く",32
receipt,〈C〉『領収書(証)』 ,"〈C〉『領収書(証)』 / 〈C〉《複数形で》(取引の)受取高,収入金額 / 〈U〉(…を)受け取ること,(…の)受領《+『of』+『名』》 / 〈金・品物〉の領収書(証)を出す / 〈請求書〉に領収の署名をする,受領済みと書く",33
traveler,旅行者,旅行者,34
caller,訪問客,"訪問客,来訪者 呼ぶ人(物) (スクエアダンスで)ステップを大声で指示する人",35
subway,《米》『地下鉄』(《英》underground,"《米》『地下鉄』(《英》underground, tube) / 地下道(underpass)",36
luggage,《おもに英》『手荷物』,"《おもに英》『手荷物』,小荷物,トランク・スーツケースなどの旅行かばん類",37
shipment,〈U〉船積み,"〈U〉船積み,積み込み,荷送り / 〈C〉積み荷;積み荷量",38
infer,…を『推論する』,"…を『推論する』,推量する",39
waiter,(料理店などの)『給仕人』,"(料理店などの)『給仕人』,ウエーター / (食物を運ぶ)給仕盆",40
rental,〈C〉賃貸料,"〈C〉賃貸料,地代,家賃 / 〈U〉(…を)借りる(貸す)こと,(…の)家賃,賃借《+『of』+『名』》 / 〈C〉《米》賃貸するもの(家・土地・車など) / 賃貸の",41
warranty,(売り渡し品の)保証《+on+名》 ,"(売り渡し品の)保証《+on+名》 / (…の)正当な理由,根拠《+for+名》",42
cafeteria,『カフェテリア』(セルフサービスの簡易食堂),『カフェテリア』(セルフサービスの簡易食堂),43
chef,コック長,"コック長,料理長 / コック,料理人",44
elevator,《米》『エレベーター』,"《米》『エレベーター』,昇降機(《英》lift) / (揚げ下ろしの設備のある)穀物倉庫 / (飛行機の)昇降舵(だ)",45
reception,(…を)『受け取ること』,"(…を)『受け取ること』,(…の)受け入れ,受付《+『of』+『名』》 / 〈C〉受け入れられかた,待遇 / 〈C〉歓迎会,レセプション / 〈U〉(ラジオ・テレビなどの)『受信』[状態],受像能力",46
correctly,正しく,"正しく,正確に;正確に言えば",47
lease,借地(借家)契約,"借地(借家)契約,借地(借家)権 / 借用期間 / (…に)〈土地・家屋など〉を賃貸する《+『名』+『to』+『名』》 / (…から)…を賃借りする《+『名』+『from』+『名』》",48
bicycle,(2輪の)『自転車』 ,"(2輪の)『自転車』 / 自転車に乗る,自転車で行く",49
notify,〈人〉に『知らせる』,"〈人〉に『知らせる』,通報する(inform)",50
